2024-06-06 12:47:39.814147, -1001907710844_3936, MATICUSDT, long, standard3-1
2024-06-06 12:51:10.049945, -1001813373578_3657, TAOUSDT, long, standard3-1
2024-06-06 12:52:16.850517, -1001877806179_2152, GRTUSDT, long, standard3-1
2024-06-06 12:54:01.122846, -1001479457875_5138, ARUSDT, long, standard3-1
2024-06-06 12:54:46.987669, -1001652601224_65486, ETHUSDT, short, standard3-1
2024-06-06 12:58:03.164902, -1001781413045_79520, COMBOUSDT, short, standard3-1
2024-06-06 13:00:38.353301, -1001869308849_3732, XLMUSDT, short, standard3-1
2024-06-06 13:05:46.684868, -1001552004524_35126, MTLUSDT, long, standard3-1
2024-06-06 13:12:10.658186, -1001756316676_43280, SANDUSDT, long, standard3-1
2024-06-06 13:14:48.603344, -1001902940198_12940, MAVUSDT, long, standard3-1
