2024-06-06 10:14:11.430623, -1001555625124_34292, ROSEUSDT, long, standard3-1
2024-06-06 10:21:27.790103, -1001445597598_24208, COMBOUSDT, long, standard3-1
2024-06-06 10:22:16.733660, -1001555625124_34293, DASHUSDT, long, standard3-1
2024-06-06 10:24:14.323231, -1001813373578_3654, ETHFIUSDT, long, standard3-1
2024-06-06 10:24:23.946429, -1001555625124_34294, YFIUSDT, long, standard3-1
2024-06-06 10:25:17.915203, -1001691583887_20068, TRXUSDT, long, standard3-1
2024-06-06 10:26:28.115461, -1001231491534_3850, MINAUSDT, long, standard3-1
2024-06-06 10:27:50.627022, -1001555625124_34295, SOLUSDT, long, standard3-1
2024-06-06 10:27:55.382595, -1001555625124_34296, TRBUSDT, long, standard3-1
2024-06-06 10:33:22.332431, -1001483974324_36137, RSRUSDT, long, standard3-1
2024-06-06 10:34:35.456069, -1001756316676_43278, SANDUSDT, long, standard3-1
2024-06-06 10:36:44.397192, -1001606401919_5259, STMXUSDT, long, standard3-1
2024-06-06 10:37:06.046112, -1001555625124_34297, ROSEUSDT, long, standard3-1
2024-06-06 10:40:12.734010, -1001555625124_34298, PIXELUSDT, long, standard3-1
2024-06-06 10:56:16.747798, -1001833426987_4191, NEARUSDT, short, standard3-1
2024-06-06 10:57:54.892357, -1001781413045_79495, DYDXUSDT, short, standard3-1
2024-06-06 11:00:46.612684, -1001483974324_36161, BTCUSDT, long, standard3-1
2024-06-06 11:06:50.873861, -1001212188460_26494, MANTAUSDT, long, standard3-1
2024-06-06 11:43:38.785650, -1001717598536_6736, UNIUSDT, long, standard3-1
2024-06-06 12:09:59.442031, -1001902940198_12934, INJUSDT, long, standard3-1
2024-06-06 13:34:03.413648, -1001781413045_79527, LQTYUSDT, short, standard3-1
2024-06-06 13:40:18.096760, -1001802738647_22722, BTCUSDT, short, standard3-1
2024-06-06 16:48:55.249749, -1001781413045_79563, PYTHUSDT, long, standard3-1
2024-06-06 17:00:58.319503, 53435331_14000, PHBUSDT, short, standard3-1
2024-06-06 17:01:02.520394, 53435331_14001, PHBUSDT, long, standard3-1
2024-06-06 17:01:39.934657, -1001266391544_145320, LPTUSDT, long, standard3-1
2024-06-06 17:04:44.184377, -1001304556087_14157, BNBUSDT, long, standard3-1
2024-06-06 17:10:01.967355, -1001784672307_25331, DUSKUSDT, short, standard3-1
2024-06-06 17:16:00.089270, -1001553551852_38416, INJUSDT, long, standard3-1
2024-06-06 17:20:43.871817, 53435331_14004, TURBOUSDT, long, standard3-1
2024-06-06 17:22:20.657799, 53435331_14005, 1000RATSUSDT, short, standard3-1
2024-06-06 17:28:35.965336, -1001717598536_6739, FTMUSDT, long, standard3-1
2024-06-06 17:29:39.330405, 53435331_14007, 1000PEPEUSDT, short, standard3-1
2024-06-06 19:33:05.098304, -1001781413045_79581, ARBUSDT, short, standard3-1
2024-06-06 19:33:09.665045, -1001781413045_79582, ARBUSDT, long, standard3-1
2024-06-06 19:47:07.183892, -1001727857237_36308, BAKEUSDT, long, standard3-1
2024-06-06 19:49:22.593866, 53435331_14014, PHBUSDT, long, standard3-1
2024-06-06 19:49:26.863916, 53435331_14015, PHBUSDT, short, standard3-1
2024-06-06 19:49:55.523352, -1001781413045_79588, HOTUSDT, short, standard3-1
2024-06-06 19:55:15.461852, -1001553551852_38430, INJUSDT, long, standard3-1
2024-06-06 20:01:03.509596, -1001727857237_36310, NEARUSDT, long, standard3-1
2024-06-06 20:03:09.848575, -1001781413045_79590, CKBUSDT, short, standard3-1
2024-06-06 20:24:40.899511, -1001622654998_119934, VETUSDT, long, standard3-1
2024-06-07 05:14:02.180311, -1001727857237_36329, BCHUSDT, short, standard3-1
2024-06-07 05:58:00.945992, -1001781413045_79636, 1000RATSUSDT, short, standard3-1
2024-06-07 06:58:22.109692, -1001763937690_3646, NEOUSDT, short, standard3-1
2024-06-07 07:09:19.935168, -1001622654998_119964, BATUSDT, long, standard3-1
2024-06-07 07:21:37.645066, -1001654019438_3078, OPUSDT, short, standard3-1
2024-06-07 07:39:20.843990, -1001742471352_7512, KAVAUSDT, long, standard3-1
2024-06-07 07:43:21.904634, -1001693869876_2572, COTIUSDT, long, standard3-1
2024-06-07 07:50:07.952115, -1001235145681_80298, BTCUSDT, long, standard3-1
2024-06-07 07:51:52.022154, -1001717598536_6746, XRPUSDT, long, standard3-1
2024-06-07 07:51:59.750269, -1001553551852_38454, FETUSDT, long, standard3-1
2024-06-07 07:53:13.913371, -1001988377539_1538, COTIUSDT, long, standard3-1
2024-06-07 08:00:41.825585, -1001543510066_10014, MATICUSDT, long, standard3-1
2024-06-07 08:04:07.655148, -1001781413045_79649, FETUSDT, long, standard3-1
2024-06-07 08:13:14.602434, -1001939319331_11886, JASMYUSDT, long, standard3-1
2024-06-07 08:13:55.147481, -1001802738647_22743, DYDXUSDT, short, standard3-1
2024-06-07 08:16:03.441497, -1001754095061_24222, PEOPLEUSDT, long, standard3-1
2024-06-07 08:19:05.600047, -1001781413045_79651, ORDIUSDT, long, standard3-1
2024-06-07 08:20:24.300239, -1001781413045_79653, 1000PEPEUSDT, long, standard3-1
2024-06-07 08:32:14.839740, -1001869308849_3736, JTOUSDT, long, standard3-1
2024-06-07 08:43:23.139106, -1001483974324_36215, DOGEUSDT, short, standard3-1
2024-06-07 08:47:16.942461, -1001312794873_31441, JASMYUSDT, long, standard3-1
2024-06-07 09:01:58.685581, -1001591264082_7341, GALUSDT, long, standard3-1
2024-06-07 09:04:04.691024, -1001781413045_79657, BSVUSDT, long, standard3-1
2024-06-07 09:06:13.480219, -1001939452549_8191, JASMYUSDT, long, standard3-1
2024-06-07 09:11:20.212478, -1001914126931_2618, ARBUSDT, short, standard3-1
2024-06-07 09:39:04.046910, -1001483974324_36219, OCEANUSDT, long, standard3-1
2024-06-07 09:51:37.768681, -1001483974324_36220, DYDXUSDT, short, standard3-1
2024-06-07 09:57:58.705393, -1001266391544_145345, ALICEUSDT, long, standard3-1
2024-06-07 10:10:28.507928, -1001578597359_7202, TIAUSDT, short, standard3-1
2024-06-07 10:13:12.229649, -1001231491534_3861, 1INCHUSDT, long, standard3-1
2024-06-07 10:44:58.658571, -1001754095061_24226, FILUSDT, long, standard3-1
2024-06-07 10:48:10.901850, -1001262962760_93935, OPUSDT, long, standard3-1
2024-06-07 11:29:59.843344, -1001754095061_24231, ICPUSDT, long, standard3-1
2024-06-07 12:03:02.942936, -1001781413045_79676, KNCUSDT, long, standard3-1
2024-06-07 12:03:07.188351, -1001781413045_79677, KNCUSDT, long, standard3-1
2024-06-07 12:08:49.453483, -1001483974324_36234, BTCUSDT, short, standard3-1
2024-06-07 12:11:17.713901, 53435331_14030, IOTXUSDT, short, standard3-1
2024-06-07 12:11:56.882042, -1001537586252_15823, MAVUSDT, long, standard3-1
2024-06-07 12:12:33.718884, 53435331_14031, TWTUSDT, long, standard3-1
2024-06-07 12:13:45.651186, 53435331_14033, BTCUSDT, long, standard3-1
2024-06-07 12:14:13.614814, 53435331_14034, BTCUSDT, long, standard3-1
2024-06-07 12:15:31.377017, 53435331_14036, BTCUSDT, short, standard3-1
2024-06-07 12:46:05.336464, -1001312794873_31452, BTCUSDT, long, standard3-1
2024-06-07 12:49:13.608909, -1001781413045_79687, LQTYUSDT, short, standard3-1
2024-06-07 12:49:21.146585, -1001781413045_79690, RENUSDT, long, standard3-1
2024-06-07 12:49:24.436721, -1001781413045_79691, BSVUSDT, long, standard3-1
2024-06-07 12:53:28.903996, -1001736408651_13324, CKBUSDT, long, standard3-1
2024-06-07 12:57:09.207512, -1001736408651_13327, SUIUSDT, long, standard3-1
2024-06-07 12:59:05.859437, -1001907710844_3945, ZILUSDT, long, standard3-1
2024-06-07 13:02:00.591949, -1001866690835_4011, STRKUSDT, long, standard3-1
2024-06-07 13:07:52.532627, -1001652601224_65594, FILUSDT, long, standard3-1
2024-06-07 13:10:06.596404, 53435331_14037, BTCUSDT, long, standard3-1
2024-06-07 13:10:36.200880, -1001652601224_65595, ARKUSDT, long, standard3-1
2024-06-07 13:11:20.078046, -1001652601224_65596, XAIUSDT, long, standard3-1
2024-06-07 13:12:08.690752, 53435331_14038, BTCUSDT, short, standard3-1
2024-06-07 13:12:39.634041, -1001652601224_65597, CKBUSDT, long, standard3-1
2024-06-07 13:13:00.629618, -1001652601224_65598, FILUSDT, long, standard3-1
2024-06-07 13:15:54.645353, -1001802738647_22755, WLDUSDT, long, standard3-1
2024-06-07 13:19:54.171872, -1001266391544_145358, SUIUSDT, short, standard3-1
2024-06-07 13:25:31.224183, -1001445597598_24262, HIGHUSDT, long, standard3-1
2024-06-07 13:26:14.180224, -1001552004524_35185, LPTUSDT, long, standard3-1
2024-06-07 13:27:11.408786, 53435331_14039, BTCUSDT, long, standard3-1
2024-06-07 13:27:31.587214, -1001882052882_3653, ZILUSDT, long, standard3-1
2024-06-07 13:27:36.636379, -1001479457875_5145, ORDIUSDT, long, standard3-1
2024-06-07 13:38:48.247730, -1001732065792_5415, WOOUSDT, long, standard3-1
2024-06-07 13:39:09.620296, -1001869308849_3737, ARBUSDT, short, standard3-1
2024-06-07 13:42:41.922323, -1001266391544_145360, ADAUSDT, short, standard3-1
2024-06-07 13:42:46.495623, -1001335605921_1900876, ADAUSDT, short, standard3-1
2024-06-07 13:42:52.626281, -1001736408651_13330, BLURUSDT, long, standard3-1
2024-06-07 13:51:01.769883, -1001781413045_79698, KNCUSDT, long, standard3-1
2024-06-07 13:52:37.805311, -1001493720845_6060, DOTUSDT, short, standard3-1
2024-06-07 13:54:31.910433, -1001781413045_79700, 1000PEPEUSDT, long, standard3-1
2024-06-07 14:03:10.231516, -1001754095061_24248, FILUSDT, long, standard3-1
2024-06-07 14:04:54.112577, -1001493720845_6061, DOTUSDT, short, standard3-1
2024-06-07 14:15:30.735756, -1001578597359_7209, WLDUSDT, short, standard3-1
2024-06-07 14:17:08.809436, -1001304556087_14165, JASMYUSDT, long, standard3-1
2024-06-07 14:19:11.695413, -1001312794873_31455, BTCUSDT, short, standard3-1
2024-06-07 14:29:15.209127, -1001483974324_36261, BTCUSDT, short, standard3-1
2024-06-07 14:35:05.026747, -1001537586252_15827, BTCUSDT, long, standard3-1
2024-06-07 14:35:06.874235, -1001652601224_65612, COTIUSDT, long, standard3-1
2024-06-07 14:36:07.565060, -1001630692598_13119, BADGERUSDT, long, standard3-1
2024-06-07 14:43:20.804080, -1001266391544_145362, CRVUSDT, short, standard3-1
2024-06-07 14:47:50.780129, -1001784672307_25341, OPUSDT, long, standard3-1
2024-06-07 14:51:01.410976, -1001939319331_11898, SEIUSDT, long, standard3-1
2024-06-07 14:51:46.428328, -1001939319331_11901, HIGHUSDT, long, standard3-1
2024-06-07 14:51:59.926399, -1001781413045_79706, PERPUSDT, long, standard3-1
2024-06-07 14:52:02.969636, -1001781413045_79707, PERPUSDT, long, standard3-1
2024-06-07 14:54:56.524878, -1001754095061_24252, BNXUSDT, long, standard3-1
2024-06-07 15:30:58.862029, -1001727857237_36364, XMRUSDT, long, standard3-1
2024-06-07 15:46:16.742358, 53435331_14049, BTCUSDT, short, standard3-1
2024-06-07 15:50:02.820371, -1001781413045_79711, 1000PEPEUSDT, long, standard3-1
2024-06-07 15:59:10.667490, -1001849045841_1885, APTUSDT, short, standard3-1
2024-06-07 15:59:12.929647, -1001231491534_3865, SANDUSDT, long, standard3-1
2024-06-07 16:02:02.239172, -1001781413045_79714, MOVRUSDT, short, standard3-1
2024-06-07 16:02:08.268765, -1001781413045_79715, MOVRUSDT, long, standard3-1
2024-06-07 16:09:11.704204, 53435331_14052, BTCUSDT, short, standard3-1
2024-06-07 16:16:02.335272, 53435331_14056, TRXUSDT, long, dual1-1
2024-06-07 16:17:35.920085, 53435331_14057, IOTXUSDT, short, dual1-1
2024-06-07 16:23:55.422839, -1001913353132_1299, MANTAUSDT, short, standard3-1
